```csv

ReqID,StoryID,NFRID,ADRID,C4 Node/Edge,Diagram
"FR-001;FR-002;FR-004","S01","NFR-R-01","ADR-01|ADR-02","UI-API;API-PIPE;PIPE-OBJ;PIPE-MDB","C4-System-Context;C4-Container;Seq-1"
"FR-003;FR-004","S10","NFR-O-01","ADR-03","PIPE-MDB;ENG-OBJ;ENG-MDB","C4-Container;Seq-1"
"FR-010;FR-041","S02","NFR-P-02","ADR-01","PIPE-ENG;ENG-MDB","C4-Container;Seq-1"
"FR-030;FR-033;FR-040","S03","NFR-A-01","ADR-01|ADR-03","ENG-OBJ;ENG-MDB","C4-Container;Seq-1"
"FR-031;FR-040","S04","","ADR-02","ENG-OBJ;API-RS","C4-Container"
"FR-050;FR-071","S05","NFR-U-01","ADR-04","UI-API;API-MDB;API-OBJ","C4-Container;Seq-2"
"FR-051;FR-052","S06|S16","","ADR-04","UI-API;API-MDB;API-OBJ","UseCase;Seq-2"
"FR-060;FR-061","S07|S08","NFR-R-01","ADR-01|ADR-03","API-MR;MR-MDB","C4-Container;Seq-3"
"FR-062","S13","NFR-O-01","ADR-01|ADR-03","MR-AUD;AUD-MDB","Seq-3"
"FR-070;FR-071;FR-072","S09|S18","NFR-S-01|NFR-S-02","ADR-05","User-UI;API-SSO;API-MDB;AUD-MDB","C4-System-Context;STRIDE"
"FR-080;FR-081","S12|S14","","ADR-02","API-RS;API-HIS","C4-Container"
"VV-01;VV-02","S15","NFR-M-01","ADR-01","PIPE-AUD;QA_ACT-UI","UseCase"
"NFR-U-01","S11","NFR-U-01","ADR-04","UI-API;OBJ","C4-Container"
"NFR-P-01","S01","NFR-P-01","ADR-01","PIPE-ENG","Seq-1"
